date,time,id,roadname,fromnode,tonode,maxSpeed,speed,ttime,traffic
2025-10-01,16:30:00,9,내정로,계원삼거리,신기사거리,30,20,70.0,2
2025-10-01,16:30:00,3,황새울로,느티마을사거리,상록사거리,50,21,96.0,2
2025-10-01,16:45:00,2,느티로,궁내사거리,느티마을사거리,50,10,57.0,3
2025-10-01,16:45:00,10,정자로,신기사거리,상록사거리,50,22,72.0,2
2025-10-01,16:45:00,11,정자로,상록사거리,금곡교사거리,50,12,46.0,3
2025-10-01,16:45:00,6,정자로,정든마을사거리,한솔청구어린이집,30,11,121.0,3
2025-10-01,16:45:00,4,정자로,상록사거리,신기사거리,50,27,59.0,1
2025-10-01,16:45:00,7,불정로,한솔청구어린이집,불정사거리,50,25,109.0,2
2025-10-01,16:45:00,8,불정로,불정사거리,계원삼거리,50,29,48.0,1
2025-10-01,16:45:00,9,내정로,계원삼거리,신기사거리,30,18,78.0,2
2025-10-01,16:45:00,5,정자로,신기사거리,정든마을사거리,50,19,71.0,2
2025-10-01,16:45:00,3,황새울로,느티마을사거리,상록사거리,50,17,119.0,2
2025-10-01,16:45:00,1,성남대로,금곡교사거리,궁내사거리,70,34,60.0,1
2025-10-01,17:00:00,11,정자로,상록사거리,금곡교사거리,50,24,23.0,2
2025-10-01,17:00:00,5,정자로,신기사거리,정든마을사거리,50,14,96.0,3
2025-10-01,17:00:00,6,정자로,정든마을사거리,한솔청구어린이집,30,10,133.0,3
2025-10-01,17:00:00,9,내정로,계원삼거리,신기사거리,30,19,74.0,2
2025-10-01,17:00:00,10,정자로,신기사거리,상록사거리,50,22,72.0,2
2025-10-01,17:00:00,7,불정로,한솔청구어린이집,불정사거리,50,28,97.0,1
2025-10-01,17:00:00,2,느티로,궁내사거리,느티마을사거리,50,8,71.0,3
2025-10-01,17:00:00,4,정자로,상록사거리,신기사거리,50,25,63.0,2
2025-10-01,17:00:00,3,황새울로,느티마을사거리,상록사거리,50,17,119.0,2
2025-10-01,17:00:00,1,성남대로,금곡교사거리,궁내사거리,70,32,63.0,1
2025-10-01,17:00:00,8,불정로,불정사거리,계원삼거리,50,32,44.0,1
2025-10-01,17:15:00,2,느티로,궁내사거리,느티마을사거리,50,10,57.0,3
2025-10-01,17:15:00,4,정자로,상록사거리,신기사거리,50,31,51.0,1
2025-10-01,17:15:00,1,성남대로,금곡교사거리,궁내사거리,70,26,78.0,1
2025-10-01,17:15:00,10,정자로,신기사거리,상록사거리,50,26,61.0,1
2025-10-01,17:15:00,3,황새울로,느티마을사거리,상록사거리,50,19,106.0,2
2025-10-01,17:15:00,11,정자로,상록사거리,금곡교사거리,50,25,22.0,2
2025-10-01,17:15:00,9,내정로,계원삼거리,신기사거리,30,19,74.0,2
2025-10-01,17:15:00,7,불정로,한솔청구어린이집,불정사거리,50,24,114.0,2
2025-10-01,17:15:00,6,정자로,정든마을사거리,한솔청구어린이집,30,9,148.0,3
2025-10-01,17:15:00,8,불정로,불정사거리,계원삼거리,50,36,39.0,1
2025-10-01,17:15:00,5,정자로,신기사거리,정든마을사거리,50,22,61.0,2
2025-10-01,17:30:00,7,불정로,한솔청구어린이집,불정사거리,50,23,119.0,2
2025-10-01,17:30:00,4,정자로,상록사거리,신기사거리,50,31,51.0,1
2025-10-01,17:30:00,11,정자로,상록사거리,금곡교사거리,50,25,22.0,2
2025-10-01,17:30:00,1,성남대로,금곡교사거리,궁내사거리,70,30,67.0,1
2025-10-01,17:30:00,3,황새울로,느티마을사거리,상록사거리,50,19,106.0,2
2025-10-01,17:30:00,6,정자로,정든마을사거리,한솔청구어린이집,30,9,148.0,3
2025-10-01,17:30:00,2,느티로,궁내사거리,느티마을사거리,50,10,57.0,3
2025-10-01,17:30:00,10,정자로,신기사거리,상록사거리,50,21,75.0,2
2025-10-01,17:30:00,5,정자로,신기사거리,정든마을사거리,50,21,64.0,2
2025-10-01,17:30:00,8,불정로,불정사거리,계원삼거리,50,34,41.0,1
2025-10-01,17:30:00,9,내정로,계원삼거리,신기사거리,30,18,78.0,2
2025-10-01,17:45:00,7,불정로,한솔청구어린이집,불정사거리,50,22,124.0,2
2025-10-01,17:45:00,11,정자로,상록사거리,금곡교사거리,50,19,29.0,2
2025-10-01,17:45:00,10,정자로,신기사거리,상록사거리,50,26,61.0,1
2025-10-01,17:45:00,3,황새울로,느티마을사거리,상록사거리,50,20,101.0,2
2025-10-01,17:45:00,9,내정로,계원삼거리,신기사거리,30,20,70.0,2
2025-10-01,17:45:00,6,정자로,정든마을사거리,한솔청구어린이집,30,12,111.0,3
2025-10-01,17:45:00,4,정자로,상록사거리,신기사거리,50,25,63.0,2
2025-10-01,17:45:00,8,불정로,불정사거리,계원삼거리,50,30,47.0,1
2025-10-01,17:45:00,1,성남대로,금곡교사거리,궁내사거리,70,25,81.0,2
2025-10-01,17:45:00,2,느티로,궁내사거리,느티마을사거리,50,9,63.0,3
2025-10-01,17:45:00,5,정자로,신기사거리,정든마을사거리,50,15,90.0,2
2025-10-01,18:00:00,9,내정로,계원삼거리,신기사거리,30,23,61.0,2
2025-10-01,18:00:00,5,정자로,신기사거리,정든마을사거리,50,10,135.0,3
2025-10-01,18:00:00,1,성남대로,금곡교사거리,궁내사거리,70,34,60.0,1
2025-10-01,18:00:00,8,불정로,불정사거리,계원삼거리,50,31,45.0,1
2025-10-01,18:00:00,10,정자로,신기사거리,상록사거리,50,24,66.0,2
2025-10-01,18:00:00,6,정자로,정든마을사거리,한솔청구어린이집,30,12,111.0,3
2025-10-01,18:00:00,7,불정로,한솔청구어린이집,불정사거리,50,23,119.0,2
2025-10-01,18:00:00,11,정자로,상록사거리,금곡교사거리,50,19,29.0,2
2025-10-01,18:00:00,2,느티로,궁내사거리,느티마을사거리,50,11,52.0,3
2025-10-01,18:00:00,3,황새울로,느티마을사거리,상록사거리,50,15,135.0,2
2025-10-01,18:00:00,4,정자로,상록사거리,신기사거리,50,19,83.0,2
2025-10-01,18:15:00,11,정자로,상록사거리,금곡교사거리,50,11,50.0,3
2025-10-01,18:15:00,6,정자로,정든마을사거리,한솔청구어린이집,30,13,102.0,3
2025-10-01,18:15:00,9,내정로,계원삼거리,신기사거리,30,23,61.0,2
2025-10-01,18:15:00,10,정자로,신기사거리,상록사거리,50,32,50.0,1
2025-10-01,18:15:00,7,불정로,한솔청구어린이집,불정사거리,50,25,109.0,2
2025-10-01,18:15:00,8,불정로,불정사거리,계원삼거리,50,31,45.0,1
2025-10-01,18:15:00,4,정자로,상록사거리,신기사거리,50,22,72.0,2
2025-10-01,18:15:00,2,느티로,궁내사거리,느티마을사거리,50,11,52.0,3
2025-10-01,18:15:00,1,성남대로,금곡교사거리,궁내사거리,70,31,65.0,1
