date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-11-09,10:20:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-11-09,10:30:00,8,불정로,불정사거리,계원삼거리,387,50,45,31.0,1
2025-11-09,10:30:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-11-09,10:30:00,10,정자로,신기사거리,상록사거리,440,50,23,69.0,2
2025-11-09,10:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-11-09,10:40:00,10,정자로,신기사거리,상록사거리,440,50,22,72.0,2
2025-11-09,10:40:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-11-09,10:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,42,48.0,2
2025-11-09,10:40:00,11,정자로,상록사거리,금곡교사거리,152,50,20,28.0,2
2025-11-09,10:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-11-09,10:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-11-09,10:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,10:40:00,5,정자로,신기사거리,정든마을사거리,374,50,24,56.0,2
2025-11-09,10:40:00,4,정자로,상록사거리,신기사거리,440,50,23,69.0,2
2025-11-09,10:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,13,44.0,3
2025-11-09,10:40:00,8,불정로,불정사거리,계원삼거리,387,50,44,32.0,1
2025-11-09,10:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
